equity
100000.0
100000.0
104656.29713342266
110764.58984461056
114056.39031016779
114966.00683538124
120312.84088650922
127805.98894685096
131695.00866750174
134928.76683687896
142869.63941489105
149802.2525785523
154139.32458485293
158192.12561098023
167057.3012788959
176437.8887205788
180890.5756006265
185482.245950836
192988.68477650493
205159.3667835276
