entry_date,exit_date,entry_price,exit_price,pnl,return_pct,exit_reason,regime
2015-03-18,2015-03-25,28.90422248840332,27.544166564941406,-4705.388370185647,-4.7053883701856485,STOP_LOSS,RANGING
2015-05-27,2015-06-04,29.930513381958008,29.284832000732422,-1439.0320998740044,-2.1572679792883243,SIGNAL_EXIT,STRONG_UPTREND
2015-06-18,2015-06-26,29.258054733276367,28.164813995361328,-3506.957108329448,-3.7365462190883547,STOP_LOSS,RANGING
2015-10-22,2015-10-27,27.38716697692871,26.985158920288086,-928.340339302951,-1.4678701779533565,SIGNAL_EXIT,STRONG_UPTREND
2015-10-28,2015-10-29,27.384159088134766,26.649158477783203,-2400.0723081097876,-2.68403571563397,SIGNAL_EXIT,STRONG_UPTREND
2015-11-03,2015-11-05,27.24016571044922,26.745159149169922,-1581.3257254013427,-1.8171936490438245,SIGNAL_EXIT,STRONG_UPTREND
2015-11-30,2015-12-09,27.483163833618164,27.261157989501953,-690.1655023574147,-0.8077885263146012,SIGNAL_EXIT,STRONG_UPTREND
2015-12-10,2015-12-11,27.393159866333008,26.880157470703125,-1587.12232736318,-1.8727390273087008,SIGNAL_EXIT,UPTREND
2015-12-23,2016-01-05,27.312164306640625,26.4442138671875,-2642.783749159741,-3.1778896381422728,STOP_LOSS,RANGING
2016-03-11,2016-03-14,26.877132415771484,26.814001083374023,-132.39068383325696,-0.23488864593461667,SIGNAL_EXIT,STRONG_UPTREND
2016-03-17,2016-03-23,27.171762466430664,27.199541091918945,82.18179839814981,0.10223343267703466,SIGNAL_EXIT,STRONG_UPTREND
2016-03-29,2016-04-05,27.5402889251709,27.416648864746094,-361.2577571904756,-0.44894249570418543,SIGNAL_EXIT,STRONG_UPTREND
2016-04-06,2016-04-07,27.67900276184082,27.256832122802734,-1221.8275951103371,-1.5252378948424572,SIGNAL_EXIT,STRONG_UPTREND
2016-04-22,2016-04-25,27.311113357543945,27.148279190063477,-470.33079609163235,-0.596219441326773,SIGNAL_EXIT,STRONG_UPTREND
2016-04-26,2016-04-29,27.510133743286133,26.349180221557617,-3309.1946720595856,-4.220094066288748,STOP_LOSS,RANGING
2016-07-18,2016-07-19,30.108081817626953,30.005233764648438,-256.5591913024677,-0.3415961654465227,SIGNAL_EXIT,STRONG_UPTREND
2016-07-20,2016-07-21,30.48015785217285,30.265384674072266,-527.4136310385694,-0.7046327618847159,SIGNAL_EXIT,STRONG_UPTREND
2016-07-26,2016-08-02,31.777891159057617,31.000459671020508,-1818.2540266118765,-2.4464539957854248,SIGNAL_EXIT,STRONG_UPTREND
2016-08-15,2016-08-16,32.437355041503906,32.210487365722656,-507.0931596455648,-0.6994025113668201,SIGNAL_EXIT,STRONG_UPTREND
2016-08-19,2016-08-24,32.71566390991211,32.61885452270508,-213.0463801557359,-0.29591142479520327,SIGNAL_EXIT,STRONG_UPTREND
2016-08-29,2016-09-09,33.02724075317383,31.6205997467041,-3057.288170307128,-4.2590327692892505,STOP_LOSS,UPTREND
2016-09-29,2016-10-11,33.78860855102539,33.512176513671875,-562.2652871649408,-0.8181219920200822,SIGNAL_EXIT,STRONG_UPTREND
2016-10-24,2016-11-01,34.086307525634766,33.52735900878906,-1117.7569594745614,-1.6398036555451023,SIGNAL_EXIT,STRONG_UPTREND
2016-11-16,2016-12-01,35.27708435058594,34.493350982666016,-1489.534523047147,-2.221650066459946,SIGNAL_EXIT,UPTREND
2016-12-15,2016-12-16,37.49766540527344,37.117950439453125,-663.8517559145636,-1.01263628472964,SIGNAL_EXIT,STRONG_UPTREND
2016-12-20,2016-12-30,37.84397506713867,37.365928649902344,-819.7297583606032,-1.2632034990727847,SIGNAL_EXIT,STRONG_UPTREND
2017-02-03,2017-02-09,39.734806060791016,39.74696350097656,19.60412476518609,0.030596450293352007,SIGNAL_EXIT,STRONG_UPTREND
2017-02-17,2017-02-23,40.27373123168945,40.18848419189453,-135.6646541048291,-0.21166908847980448,SIGNAL_EXIT,STRONG_UPTREND
2017-02-27,2017-02-28,40.544708251953125,40.02709197998047,-816.5123757267437,-1.2766555594779017,SIGNAL_EXIT,STRONG_UPTREND
2017-03-10,2017-03-21,40.95880889892578,40.840049743652344,-183.0748434690165,-0.2899477754992774,SIGNAL_EXIT,STRONG_UPTREND
2017-03-27,2017-04-04,41.5422248840332,41.316307067871094,-342.38013821891803,-0.5438269538831086,SIGNAL_EXIT,STRONG_UPTREND
2017-04-24,2017-04-28,41.606327056884766,41.55138397216797,-57.88036727807736,-0.13205463832862696,SIGNAL_EXIT,UPTREND
2017-05-22,2017-05-23,44.344669342041016,44.16761779785156,-249.76767792577112,-0.39926229424288584,SIGNAL_EXIT,STRONG_UPTREND
2017-06-02,2017-06-09,45.68484115600586,45.150604248046875,-728.6219699182045,-1.169396444073556,SIGNAL_EXIT,STRONG_UPTREND
2017-06-19,2017-06-20,45.03153991699219,44.5247917175293,-692.9587080658753,-1.1253183888381146,SIGNAL_EXIT,STRONG_UPTREND
2017-06-21,2017-06-27,45.04071044921875,43.490013122558594,-2096.229579462292,-3.4428793666753887,STOP_LOSS,RANGING
2017-09-15,2017-09-21,47.630611419677734,47.53574752807617,-81.96230544066145,-0.19916580697590947,SIGNAL_EXIT,STRONG_UPTREND
2017-10-10,2017-10-12,50.15355682373047,50.3377799987793,215.64429429633998,0.3673182655744567,SIGNAL_EXIT,STRONG_UPTREND
2017-10-13,2017-10-17,50.660160064697266,50.85666275024414,228.55445947711686,0.38788405977383533,SIGNAL_EXIT,STRONG_UPTREND
2017-11-03,2017-11-09,54.037506103515625,53.82871627807617,-228.5509869536381,-0.38637946214521435,SIGNAL_EXIT,STRONG_UPTREND
2017-11-20,2017-11-29,55.01386642456055,52.6988410949707,-2479.5414411444717,-4.208076036183339,STOP_LOSS,STRONG_UPTREND
2017-12-18,2017-12-26,53.25150680541992,52.45698928833008,-842.1476950845071,-1.4920094561699404,SIGNAL_EXIT,UPTREND
2018-01-17,2018-01-24,56.8402099609375,56.71100997924805,-126.38482380996699,-0.22730384313893737,SIGNAL_EXIT,STRONG_UPTREND
