entry_date,exit_date,entry_price,exit_price,pnl,return_pct,exit_reason,regime
2015-05-12,2015-05-19,165.9199981689453,157.0399932861328,-5351.979858251071,-5.351979858251077,STOP_LOSS,STRONG_UPTREND
2015-06-09,2015-06-15,161.67999267578125,161.1999969482422,-280.99113895417605,-0.2968801022286027,SIGNAL_EXIT,STRONG_UPTREND
2015-06-18,2015-06-19,162.8800048828125,160.16000366210938,-1575.8744252641795,-1.6699417602916267,SIGNAL_EXIT,UPTREND
2015-06-22,2015-06-29,161.27999877929688,156.0800018310547,-2991.7765642305244,-3.224204481398907,STOP_LOSS,RANGING
2016-03-28,2016-03-31,80.08000183105469,77.5999984741211,-2781.0034194725713,-3.096907218066347,STOP_LOSS,NEUTRAL
2016-04-20,2016-04-25,86.08000183105469,84.4000015258789,-1188.819992270876,-1.951673175464197,SIGNAL_EXIT,STRONG_UPTREND
2016-04-27,2016-05-03,89.12000274658203,85.91999816894531,-3081.8554663031077,-3.590669298716387,STOP_LOSS,STRONG_UPTREND
2016-05-16,2016-05-20,94.08000183105469,94.0,-70.36529886840933,-0.08503595822452192,SIGNAL_EXIT,STRONG_UPTREND
2016-06-06,2016-06-13,96.31999969482422,94.08000183105469,-1922.7268663043258,-2.3255791848698415,SIGNAL_EXIT,STRONG_UPTREND
2016-06-29,2016-07-05,94.31999969482422,89.44000244140625,-4178.141025126262,-5.1738732710001845,STOP_LOSS,NEUTRAL
2016-10-13,2016-10-14,91.91999816894531,91.5199966430664,-333.2322001149073,-0.43516267824953436,SIGNAL_EXIT,STRONG_UPTREND
2016-10-19,2016-10-25,93.27999877929688,89.91999816894531,-2746.3262786265755,-3.6020590204995817,STOP_LOSS,STRONG_UPTREND
2016-12-16,2016-12-19,92.4000015258789,92.0,-318.16963905170616,-0.4329020771356551,SIGNAL_EXIT,STRONG_UPTREND
2016-12-20,2016-12-21,92.95999908447266,91.5199966430664,-1133.5796274522736,-1.5490559978359353,SIGNAL_EXIT,STRONG_UPTREND
2016-12-27,2017-01-03,93.83999633789062,91.5199966430664,-1781.1674292382513,-2.472293036404827,SIGNAL_EXIT,STRONG_UPTREND
2017-01-04,2017-01-09,92.63999938964844,90.4800033569336,-1638.2765793054186,-2.331601950502815,SIGNAL_EXIT,UPTREND
2017-01-26,2017-01-27,92.23999786376953,91.19999694824219,-773.7511626240313,-1.1274945138911807,SIGNAL_EXIT,STRONG_UPTREND
2017-02-01,2017-02-13,91.83999633789062,90.55999755859375,-661.9697661019864,-1.3937269494084026,SIGNAL_EXIT,UPTREND
2017-02-21,2017-02-22,92.31999969482422,90.87999725341797,-733.6181570523182,-1.559794677389914,SIGNAL_EXIT,UPTREND
2017-02-23,2017-03-02,92.23999786376953,89.36000061035156,-1452.4710271655804,-3.1222867737610738,STOP_LOSS,RANGING
2017-08-04,2017-08-10,81.04000091552734,79.27999877929688,-988.2145375611522,-2.1717696401126863,SIGNAL_EXIT,STRONG_UPTREND
2017-09-25,2017-10-02,84.4000015258789,81.68000030517578,-1444.1460353404248,-3.222750203232061,STOP_LOSS,STRONG_UPTREND
2017-11-06,2017-11-14,92.08000183105469,89.04000091552734,-2065.7856837485338,-3.301477905164507,STOP_LOSS,STRONG_UPTREND
2017-12-01,2017-12-04,93.36000061035156,91.91999816894531,-933.2523394664315,-1.5424190574036767,SIGNAL_EXIT,STRONG_UPTREND
2018-01-03,2018-01-05,98.72000122070312,98.4800033569336,-144.82651821630563,-0.2431096645075792,SIGNAL_EXIT,STRONG_UPTREND
2018-01-09,2018-01-17,100.55999755859375,102.23999786376953,992.825390007074,1.6706447354445153,SIGNAL_EXIT,STRONG_UPTREND
2018-01-23,2018-01-30,103.76000213623047,103.19999694824219,-326.0967155207439,-0.5397120050682269,SIGNAL_EXIT,STRONG_UPTREND
2018-01-31,2018-02-07,103.83999633789062,98.95999908447266,-2824.1578829297437,-4.6995352711094895,STOP_LOSS,UPTREND
2018-02-22,2018-02-28,100.72000122070312,98.95999908447266,-1000.7521911280254,-1.7474206859607322,SIGNAL_EXIT,UPTREND
2018-03-05,2018-03-07,100.72000122070312,98.80000305175781,-750.855159721028,-1.9062729802178158,SIGNAL_EXIT,UPTREND
2018-03-20,2018-04-02,102.4800033569336,101.91999816894531,-212.36835217351253,-0.5464531319713251,SIGNAL_EXIT,STRONG_UPTREND
2018-04-18,2018-04-24,111.04000091552734,109.44000244140625,-796.9196088220242,-1.4409208041508248,SIGNAL_EXIT,STRONG_UPTREND
2018-05-09,2018-05-11,114.95999908447266,114.0,-455.1925085055088,-0.8350722791562015,SIGNAL_EXIT,STRONG_UPTREND
2018-05-14,2018-05-15,115.04000091552734,115.19999694824219,75.17777636051483,0.1390786086939766,SIGNAL_EXIT,STRONG_UPTREND
2018-05-16,2018-05-25,115.68000030517578,109.44000244140625,-2919.8388941534768,-5.39418901046661,STOP_LOSS,NEUTRAL
2018-07-06,2018-07-11,119.68000030517578,114.4800033569336,-2225.0104218913566,-4.344917225085688,STOP_LOSS,STRONG_UPTREND
2018-07-25,2018-07-31,115.36000061035156,114.23999786376953,-475.57874039971364,-0.970876162150025,SIGNAL_EXIT,STRONG_UPTREND
2018-08-02,2018-08-08,114.87999725341797,111.19999694824219,-1553.9068067733133,-3.2033429606182273,STOP_LOSS,RANGING
2018-09-28,2018-10-10,124.16000366210938,123.04000091552734,-423.5642142772261,-0.9020640411947944,SIGNAL_EXIT,STRONG_UPTREND
2018-10-15,2018-10-18,121.04000091552734,116.4800033569336,-1753.001107764289,-3.7673475909638543,STOP_LOSS,NEUTRAL
2019-02-27,2019-03-01,95.12000274658203,93.27999877929688,-866.1953742426709,-1.9344027692968835,SIGNAL_EXIT,STRONG_UPTREND
